City,State,2010 Population,CBSA Code,CO ,Pb,NO2,NO2,O3,PM10,PM2.5 (WAM),PM2.5 (24hr),SO2
Longview,TX,214369,30980,,,3,17,0.064,,,,77
Longview,WA,102410,31020,,,,,,,,,
Los Angeles-Long Beach-Anaheim,CA,12828837,31080,3,0.04,25,76,0.095,92,12.1,33,4
Lubbock,TX,290805,31180,,,,,,,5.6,22,
Ludington,MI,28705,31220,,,,,0.066,,,,
Lumberton,NC,134168,31300,,,,,,,,,
Lynchburg,VA,252634,31340,,,,,,,5.7,12,
Macon,GA,232293,31420,,,,,0.057,,8.8,20,3
Madera,CA,150865,31460,,,6,28,0.078,131,10.4,32,
Madison,WI,605435,31540,,,,,0.062,63,8.3,22,1
Manchester-Nashua,NH,400721,31700,0,,,,0.062,,4.1,10,
Manitowoc,WI,81442,31820,,,,,0.081,,,,
Mankato-North Mankato,MN,96740,31860,,,,,,,,,
Marietta,OH,61778,31930,,0,,,0.06,,,,24
Marion,NC,44996,32000,,,,,,,,,
Marion,OH,66501,32020,,0.01,,,,,,,
Marshall,MN,25857,32140,,,,,0.058,,6.5,20,
Marshall,TX,65631,32220,,,2,,0.065,,,,20
Mason City,IA,51749,32380,,,,,,48,,,
Mayaguez,PR,106330,32420,,,,,0.038,,,,
McAlester,OK,45837,32540,,0.01,,,0.064,,8.8,25,
McAllen-Edinburg-Mission,TX,774769,32580,,,,,0.063,52,9.5,29,
Medford,OR,203206,32780,,,,,0.066,51,,,
Merced,CA,255793,32900,,,7,32,0.072,95,10.5,31,
Meridian,MS,107449,32940,,,,,0.059,,,,
Miami,OK,31848,33060,,0.02,,,0.07,56,,,
Miami-Fort Lauderdale-West Palm Beach,FL,5564635,33100,1,,13,51,0.068,104,9.4,22,2
Michigan City-La Porte,IN,111467,33140,,,,,0.068,,7.9,19,
Middlesborough,KY,28691,33180,,,,,0.06,,9.6,21,
Milwaukee-Waukesha-West Allis,WI,1555908,33340,1,,12,41,0.074,84,9,24,4
Minot,ND,69540,33500,,,2,10,0.053,,5.8,14,7
Missoula,MT,109299,33540,,,,,0.056,129,10.8,36,
Mobile,AL,412992,33660,,,,,0.061,,,,11
Modesto,CA,514453,33700,1,,9,38,0.077,121,13.4,36,
Monroe,LA,176441,33740,,,,,0.06,,7.8,19,
Monroe,MI,152021,33780,,,,,,168,,,
